post_id,title,url,publication_date,modified_date,provenance
8476,How to do Archery,https://lettersfortitles.com/how-to-do-archery/,2022-06-02,2022-07-25,repository data/corpus.json; WordPress REST API harvest; day precision
8334,They’ll Cut You,https://lettersfortitles.com/they-cut/,2022-06-03,2022-11-15,repository data/corpus.json; WordPress REST API harvest; day precision
8569,Arrows,https://lettersfortitles.com/arrows/,2022-06-06,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8429,For Anybody Who Rests With Them,https://lettersfortitles.com/for-anybody-who-rests-with-them/,2022-06-07,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8404,UI is for User Interface,https://lettersfortitles.com/ui-is-for-user-interface/,2022-06-08,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8573,How To Declare War,https://lettersfortitles.com/how-to-declare-war/,2022-06-09,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8310,Translating Yr,https://lettersfortitles.com/translating-yr/,2022-06-10,2023-01-02,repository data/corpus.json; WordPress REST API harvest; day precision
8322,Translating Thorn,https://lettersfortitles.com/translating-thorn/,2022-06-13,2022-08-05,repository data/corpus.json; WordPress REST API harvest; day precision
7666,Stanza 3: Thorn,https://lettersfortitles.com/thorn/,2022-06-14,2022-12-13,repository data/corpus.json; WordPress REST API harvest; day precision
7664,Stanza 27: Bow,https://lettersfortitles.com/yew-bow/,2022-06-15,2022-07-13,repository data/corpus.json; WordPress REST API harvest; day precision
8764,ᚩ,https://lettersfortitles.com/%e1%9a%a9/,2022-06-16,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
8771,ᚫ,https://lettersfortitles.com/%e1%9a%ab/,2022-06-17,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
8738,Rune Casting: Os,https://lettersfortitles.com/rune-casting-os/,2022-06-20,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
8740,Rune Casting: Æsc,https://lettersfortitles.com/rune-casting-aesc/,2022-06-21,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8811,X≠Y≠Z: How to Punch a Tree,https://lettersfortitles.com/x%e2%89%a0y%e2%89%a0z-how-to-punch-a-tree/,2022-06-22,2022-09-02,repository data/corpus.json; WordPress REST API harvest; day precision
8797,O is for Apostrophe,https://lettersfortitles.com/o-is-for-apostrophe/,2022-06-23,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8756,Shh,https://lettersfortitles.com/shh/,2022-06-24,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8821,The Ogam Ash Tree,https://lettersfortitles.com/ogam-ash-tree/,2022-06-27,2022-12-17,repository data/corpus.json; WordPress REST API harvest; day precision
8611,Axis Mundi,https://lettersfortitles.com/axismundi/,2022-06-28,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8704,Truth,https://lettersfortitles.com/truth/,2022-06-29,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8697,Speech Bearer,https://lettersfortitles.com/speech-bearer/,2022-06-30,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8789,Æ is for George William Russell,https://lettersfortitles.com/ae-is-for-george-william-russell/,2022-07-01,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8680,How to Talk to God,https://lettersfortitles.com/how-to-talk-to-god/,2022-07-04,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8590,Translating Os,https://lettersfortitles.com/translating-os/,2022-07-05,2022-07-25,repository data/corpus.json; WordPress REST API harvest; day precision
8609,Translating Æsc,https://lettersfortitles.com/translating-ash/,2022-07-06,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7671,Stanza 26: Ash,https://lettersfortitles.com/ash/,2022-07-07,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
7668,Stanza 4: God,https://lettersfortitles.com/god-mouth/,2022-07-08,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8931,ᚪ,https://lettersfortitles.com/%e1%9a%aa/,2022-07-11,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
9022,ᚱ,https://lettersfortitles.com/%e1%9a%b1/,2022-07-12,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
8958,Rune Casting: Rad,https://lettersfortitles.com/rune-casting-rad/,2022-07-13,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8959,Rune Casting: Ac,https://lettersfortitles.com/rune-casting-ac/,2022-07-14,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8984,How to Measure a Mile,https://lettersfortitles.com/how-to-measure-a-mile/,2022-07-15,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8977,A is for Golem Aleph,https://lettersfortitles.com/a-is-for-golem-aleph/,2022-07-18,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
8994,The Way,https://lettersfortitles.com/the-way/,2022-07-19,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
9047,X≠Y≠Z: Are we there yet?,https://lettersfortitles.com/x%e2%89%a0y%e2%89%a0z-are-we-there-yet/,2022-07-20,2023-02-13,repository data/corpus.json; WordPress REST API harvest; day precision
8917,By Land and By Sea,https://lettersfortitles.com/by-land-and-by-sea/,2022-07-21,2022-07-21,repository data/corpus.json; WordPress REST API harvest; day precision
8938,How to Bathe a Gannet,https://lettersfortitles.com/how-to-bathe-a-gannet/,2022-07-22,2022-07-12,repository data/corpus.json; WordPress REST API harvest; day precision
9008,Crann Bethadh,https://lettersfortitles.com/crann-bethadh/,2022-07-25,2022-07-25,repository data/corpus.json; WordPress REST API harvest; day precision
8949,R is for Riddle,https://lettersfortitles.com/r-is-for-riddle/,2022-07-26,2022-07-14,repository data/corpus.json; WordPress REST API harvest; day precision
9055,How to Make Ink,https://lettersfortitles.com/how-to-make-iron-gall-ink/,2022-07-27,2022-07-27,repository data/corpus.json; WordPress REST API harvest; day precision
8768,Translating Ac,https://lettersfortitles.com/translating-ac/,2022-07-28,2022-12-15,repository data/corpus.json; WordPress REST API harvest; day precision
8840,Translating Rad,https://lettersfortitles.com/translating-rad/,2022-07-29,2022-07-29,repository data/corpus.json; WordPress REST API harvest; day precision
7673,Stanza 5: The Ride,https://lettersfortitles.com/stanza-25-the-ride/,2022-08-01,2022-07-22,repository data/corpus.json; WordPress REST API harvest; day precision
7675,Stanza 25: Oak,https://lettersfortitles.com/stanza-25-oak/,2022-08-02,2022-07-18,repository data/corpus.json; WordPress REST API harvest; day precision
9257,ᛞ,https://lettersfortitles.com/%e1%9b%9e/,2022-08-03,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
9120,ᚳ,https://lettersfortitles.com/%e1%9a%b3/,2022-08-04,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
9183,Rune Casting: Cen,https://lettersfortitles.com/rune-casting-cen/,2022-08-05,2022-07-26,repository data/corpus.json; WordPress REST API harvest; day precision
9178,Rune Casting: Dæg,https://lettersfortitles.com/rune-casting-daeg/,2022-08-08,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
9212,How to Burn it All Down,https://lettersfortitles.com/how-to-burn-it-all-down/,2022-08-09,2022-07-28,repository data/corpus.json; WordPress REST API harvest; day precision
9150,C is for Computer,https://lettersfortitles.com/c-is-for-computer/,2022-08-10,2022-08-01,repository data/corpus.json; WordPress REST API harvest; day precision
9248,X≠Y≠Z: Contraries and Negations,https://lettersfortitles.com/x%e2%89%a0y%e2%89%a0z-contraries-and-negations/,2022-08-11,2022-09-25,repository data/corpus.json; WordPress REST API harvest; day precision
9202,Night Riddle,https://lettersfortitles.com/night-riddle/,2022-08-12,2022-07-29,repository data/corpus.json; WordPress REST API harvest; day precision
9125,Light,https://lettersfortitles.com/light/,2022-08-15,2023-02-03,repository data/corpus.json; WordPress REST API harvest; day precision
9272,Or are you both?,https://lettersfortitles.com/or-are-you-both/,2022-08-16,2022-08-01,repository data/corpus.json; WordPress REST API harvest; day precision
9153,How to make a Torch,https://lettersfortitles.com/how-to-make-a-torch/,2022-08-17,2022-08-01,repository data/corpus.json; WordPress REST API harvest; day precision
9169,D is for Dark,https://lettersfortitles.com/d-is-for-dark/,2022-08-18,2023-01-16,repository data/corpus.json; WordPress REST API harvest; day precision
9214,How to Burn the Cotton Library,https://lettersfortitles.com/how-to-burn-the-cotton-library/,2022-08-19,2022-10-17,repository data/corpus.json; WordPress REST API harvest; day precision
9066,Translating Cen,https://lettersfortitles.com/translating-cen/,2022-08-22,2022-08-23,repository data/corpus.json; WordPress REST API harvest; day precision
9076,Translating Dæg,https://lettersfortitles.com/translating-day/,2022-08-23,2022-08-13,repository data/corpus.json; WordPress REST API harvest; day precision
9059,Stanza 24: Day,https://lettersfortitles.com/stanza-24-day/,2022-08-24,2022-08-12,repository data/corpus.json; WordPress REST API harvest; day precision
9057,Stanza 6: Torch,https://lettersfortitles.com/stanza-6-torch/,2022-08-25,2022-08-13,repository data/corpus.json; WordPress REST API harvest; day precision
9464,ᚷ,https://lettersfortitles.com/%e1%9a%b7/,2022-08-26,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
9465,ᛟ,https://lettersfortitles.com/%e1%9b%9f/,2022-08-29,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
9370,Rune Casting: Gifu,https://lettersfortitles.com/rune-casting-gifu/,2022-08-30,2022-08-15,repository data/corpus.json; WordPress REST API harvest; day precision
9372,Rune Casting: Eþel,https://lettersfortitles.com/rune-casting-ethel/,2022-08-31,2022-08-15,repository data/corpus.json; WordPress REST API harvest; day precision
9499,How to Summon an Angel,https://lettersfortitles.com/how-to-summon-an-angel/,2022-09-01,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
9344,G is for Go,https://lettersfortitles.com/g-is-for-go/,2022-09-02,2022-08-28,repository data/corpus.json; WordPress REST API harvest; day precision
9417,Present,https://lettersfortitles.com/present/,2022-09-05,2022-08-28,repository data/corpus.json; WordPress REST API harvest; day precision
9487,I Sing This Wretched Song,https://lettersfortitles.com/i-sing-this-wretched-song/,2022-09-06,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
9305,You Have Nothing Else,https://lettersfortitles.com/you-have-nothing-else/,2022-09-07,2022-09-02,repository data/corpus.json; WordPress REST API harvest; day precision
9523,X≠Y≠Z: Z’s Lament,https://lettersfortitles.com/x%e2%89%a0y%e2%89%a0z-zs-lament/,2022-09-08,2022-09-02,repository data/corpus.json; WordPress REST API harvest; day precision
9515,Gift Riddle,https://lettersfortitles.com/gift-riddle/,2022-09-09,2022-09-02,repository data/corpus.json; WordPress REST API harvest; day precision
9356,Œ is for Œdipean Riddle,https://lettersfortitles.com/oe-is-for-oedipean-riddle/,2022-09-12,2022-11-16,repository data/corpus.json; WordPress REST API harvest; day precision
